column1,column2,column3,column4,category,value
109.93428306022466,33.49651645181395,11,8.358313534975544,Cat2,692
97.2347139765763,20.91356806688005,9,8.525964535299376,Cat1,944
112.95377076201385,127.28604990872734,19,11.832383263941965,Cat2,683
130.46059712816052,141.29514529738023,15,12.493872870144909,Cat2,295
95.31693250553329,6.3172289651284075,22,19.662025720872588,Cat2,512
95.3172608610164,187.24244924873796,9,4.3552564634672715,Cat3,689
131.58425631014782,10.394256730294483,9,29.38031463867195,Cat3,881
115.34869458305818,108.25926706021409,15,4.5850496853594676,Cat1,396
90.61051228130096,141.8121038901833,15,9.287771421818078,Cat2,749
110.8512008717193,174.19382474921713,12,17.496498047278582,Cat1,138
90.73164614375075,142.81738642648557,14,39.79493089452787,Cat2,839
90.68540492859486,160.34561661395836,21,33.62585795483905,Cat3,878
104.83924543132068,67.89003850856122,16,25.928596320697228,Cat3,823
61.73439510684404,162.96502274930245,19,4.233354296601494,Cat2,129
65.50164334973934,16.02296927693503,17,19.799081480153795,Cat2,49
88.75424941518054,178.96333121210552,12,2.2877141769886262,Cat3,676
79.74337759331152,109.51847523074724,16,11.844796962108585,Cat3,789
106.28494665190547,163.45955399249874,9,13.34026989808532,Cat1,293
81.83951848957578,90.46365690366002,14,1.015639914089751,Cat3,628
71.75392597329417,128.71553903930499,10,8.00472180942619,Cat2,536
129.31297537843108,105.28053218722265,18,77.8907639567285,Cat1,311
95.4844739902693,146.31790435106637,8,76.77897054370355,Cat2,537
101.35056409375848,16.325996406117916,23,10.859235584830076,Cat1,903
71.50503627573087,12.07041679811276,17,1.101412501310557,Cat2,639
89.11234550949635,49.42064680202929,16,4.933695371553696,Cat3,234
102.21845179419732,31.90893602263767,16,12.448466851841074,Cat2,209
76.98012845155395,174.35671331844034,18,73.80709829784551,Cat1,605
107.51396036691344,43.84279747160886,21,3.80545306365807,Cat2,94
87.9872262016239,195.17305116382627,15,36.046851638720696,Cat1,327
94.16612500413447,67.37915835422137,12,2.876365449298232,Cat2,225
87.96586775541206,36.423583137739854,16,99.42414339455054,Cat3,967
